iteration,matched_row_count
1,2
2,2
3,0
4,0
5,0
6,1
7,1
8,0
9,0
10,1
11,0
12,1
13,0
14,1
15,2
16,2
17,1
18,0
19,2
20,0
21,0
22,0
23,0
24,0
25,2
26,1
27,1
28,0
29,1
30,1
31,1
32,1
33,1
34,0
35,2
36,1
37,1
38,2
39,0
40,0
41,0
42,0
43,2
44,2
45,1
46,1
47,1
48,1
49,1
50,1
51,0
52,1
53,1
54,1
55,0
56,2
57,0
58,0
59,0
60,0
61,0
62,1
63,1
64,0
65,2
66,0
67,0
68,1
69,2
70,1
71,1
72,1
73,1
74,0
75,0
76,2
77,1
78,2
79,0
80,0
81,2
82,0
83,0
84,1
85,1
86,0
87,0
88,0
89,1
90,0
91,0
92,0
93,0
94,0
95,1
96,1
97,0
98,0
99,0
100,0
101,0
102,1
103,0
104,0
105,0
106,0
107,1
108,0
109,1
110,1
111,0
112,2
113,0
114,1
115,0
116,1
117,3
118,1
119,1
120,1
121,1
122,1
123,0
124,1
125,1
126,1
127,1
128,0
129,0
130,1
131,0
132,1
133,0
134,1
135,2
136,0
137,1
138,1
139,0
140,0
141,1
142,1
143,3
144,1
145,0
146,1
147,1
148,0
149,1
150,0
151,0
152,2
153,1
154,2
155,1
156,2
157,0
158,1
159,0
160,3
161,1
162,0
163,1
164,1
165,1
166,0
167,0
168,0
169,0
170,0
171,0
172,1
173,2
174,0
175,1
176,0
177,0
178,1
179,0
180,1
181,0
182,1
183,1
184,0
185,1
186,2
187,0
188,1
189,3
190,1
191,1
192,1
193,0
194,0
195,2
196,0
197,0
198,1
199,1
200,0
201,0
202,0
203,0
204,0
205,1
206,1
207,0
208,0
209,0
210,0
211,0
212,1
213,3
214,2
215,1
216,2
217,0
218,1
219,0
220,2
221,0
222,1
223,0
224,0
225,0
226,0
227,1
228,0
229,1
230,2
231,0
232,0
233,1
234,0
235,2
236,0
237,0
238,2
239,0
240,0
241,1
242,0
243,0
244,1
245,1
246,0
247,2
248,1
249,1
250,1
251,0
252,0
253,0
254,1
255,1
256,2
257,2
258,0
259,2
260,0
261,0
262,0
263,0
264,0
265,0
266,1
267,1
