id	related_id
GO:0042377	GO:0042182
GO:0010169	GO:0140535
GO:0009055	GO:0003674
GO:0097335	GO:1901698
GO:1901645	GO:0050678
GO:0034431	GO:0016462
GO:0010620	GO:0043161
GO:0052905	GO:0016423
GO:0097485	GO:0031175
GO:0032013	GO:0051058
GO:1902898	GO:1901568
GO:1904423	GO:0032476
GO:0019431	GO:0006091
GO:0034517	GO:0016236
GO:1904003	GO:0050680
GO:0016597	GO:0005488
GO:0006704	GO:0120178
GO:1900973	GO:0009891
GO:1902025	GO:0015698
GO:0006794	GO:0006793
GO:2000881	GO:0043470
GO:1905374	GO:1901698
GO:0004657	GO:0016649
GO:0090358	GO:0033240
GO:0019623	GO:0043605
GO:0010266	GO:1901698
GO:0043467	GO:0019222
GO:0019664	GO:0006006
GO:1905626	GO:0032892
GO:0039529	GO:0002753
GO:0034132	GO:0002683
GO:0098660	GO:0055085
GO:1902616	GO:0015697
GO:1903493	GO:1901698
GO:0003328	GO:0048663
GO:0045037	GO:0071806
GO:0043463	GO:0043470
GO:1901264	GO:0006810
GO:0003908	GO:0008276
GO:0043602	GO:0009056
GO:1904507	GO:0048584
GO:0047241	GO:0000026
GO:0062208	GO:0045089
GO:0009820	GO:0008152
GO:0044067	GO:0052008
GO:1903316	GO:0009893
GO:0008681	GO:0016709
GO:1905009	GO:0032891
GO:0051202	GO:0043648
GO:1900080	GO:0062013
GO:0019347	GO:1901293
GO:0008470	GO:0016937
GO:0030258	GO:0006629
GO:0050604	GO:0004497
GO:0034741	GO:0140535
GO:1900763	GO:0042181
GO:0018456	GO:0004022
GO:0140292	GO:0140096
GO:0048241	GO:0015695
GO:0034169	GO:0062208
GO:1905014	GO:1902690
GO:1901860	GO:0010821
GO:0061775	GO:0140097
GO:0009011	GO:0033840
GO:0018064	GO:0008276
GO:1903267	GO:0009895
GO:0071320	GO:1901699
GO:0061614	GO:0010586
GO:0052164	GO:0052167
GO:2001277	GO:0062014
GO:2000376	GO:0009893
GO:0062093	GO:0016236
GO:1901717	GO:0062013
GO:0035401	GO:0004713
GO:0003676	GO:0005488
GO:0016972	GO:0015036
GO:0030420	GO:0051716
GO:1902266	GO:0055082
GO:1901423	GO:0042221
GO:1904300	GO:0048522
GO:0070592	GO:0000271
GO:0038048	GO:0008528
GO:0070538	GO:0036041
GO:0034472	GO:0031123
GO:0080007	GO:0016616
GO:0010136	GO:0009056
GO:0031564	GO:0010628
GO:0018457	GO:0004022
GO:0042865	GO:0046395
GO:0019387	GO:0015945
GO:1903801	GO:0015820
GO:0051479	GO:0046394
GO:0009292	GO:0009987
GO:0032485	GO:0051056
GO:1905923	GO:0009891
GO:0099586	GO:0051649
GO:0101031	GO:0140535
GO:0035731	GO:0051540
GO:0034585	GO:0016070
GO:0018675	GO:0016712
GO:0039636	GO:0044068
GO:0018030	GO:0140096
GO:0015822	GO:0015695
GO:0050419	GO:0016832
GO:0097196	GO:0032991
GO:1990654	GO:0050673
GO:1904188	GO:0048519
GO:0042702	GO:0048589
GO:0052781	GO:0052780
GO:0033254	GO:0140535
GO:1990224	GO:0008253
GO:1990151	GO:0008104
