Node1,Node2,Relationship
GO:0046155,GO:0046164,Uncle：1/Nephew (叔侄节点)
GO:1903425,GO:1901702,Uncle：1/Nephew (叔侄节点)
GO:0042070,GO:0022412,Uncle：1/Nephew (叔侄节点)
GO:0033249,GO:0031331,Uncle：1/Nephew (叔侄节点)
GO:0071285,GO:1902075,Uncle：1/Nephew (叔侄节点)
GO:0039507,GO:0039506,Uncle：1/Nephew (叔侄节点)
GO:0001545,GO:0048589,Sibling (兄弟节点)
GO:0030877,GO:1902494,Sibling (兄弟节点)
GO:0106274,GO:1990404,Uncle/Nephew：1 (叔侄节点)
GO:0071805,GO:0098655,Uncle：1/Nephew (叔侄节点)
GO:0002941,GO:0050673,Sibling (兄弟节点)
GO:0035833,GO:1901362,Uncle：1/Nephew (叔侄节点)
GO:0140462,GO:0031507,Sibling (兄弟节点)
GO:0090454,GO:0042886,Uncle：1/Nephew (叔侄节点)
GO:2000278,GO:0031326,Uncle：1/Nephew (叔侄节点)
GO:1905440,GO:0071326,Uncle/Nephew：1 (叔侄节点)
GO:0062208,GO:0045089,Uncle/Nephew：1 (叔侄节点)
GO:0004657,GO:0016649,Sibling (兄弟节点)
GO:0005254,GO:0015108,Uncle/Nephew：1 (叔侄节点)
GO:0019049,GO:0019054,Sibling (兄弟节点)
GO:0039693,GO:0071897,No Specific Relationship
GO:1901367,GO:1902074,Uncle：1/Nephew (叔侄节点)
GO:0006739,GO:0046496,Uncle/Nephew：1 (叔侄节点)
GO:1900539,GO:0019752,Uncle/Nephew：1 (叔侄节点)
GO:1904214,GO:1903961,Uncle/Nephew：1 (叔侄节点)
GO:0034694,GO:0033993,Uncle/Nephew：1 (叔侄节点)
GO:0007610,GO:0032501,Sibling (兄弟节点)
GO:0030437,GO:1903046,Uncle/Nephew：1 (叔侄节点)
GO:0080162,GO:0060918,Uncle/Nephew：1 (叔侄节点)
GO:1990622,GO:0005667,Sibling (兄弟节点)
GO:1900082,GO:0031330,Uncle：1/Nephew (叔侄节点)
GO:0019872,GO:0044272,Uncle：1/Nephew (叔侄节点)
GO:0061136,GO:0042176,Uncle：1/Nephew (叔侄节点)
GO:0042592,GO:0008150,No Specific Relationship
GO:0016469,GO:1904949,Uncle/Nephew：1 (叔侄节点)
GO:0070828,GO:0006338,Sibling (兄弟节点)
GO:1903781,GO:0048518,Uncle：1/Nephew (叔侄节点)
GO:1902080,GO:0051924,Uncle/Nephew：1 (叔侄节点)
GO:0034355,GO:0032261,Uncle/Nephew：1 (叔侄节点)
GO:0018249,GO:0036211,Uncle：1/Nephew (叔侄节点)
GO:0043799,GO:0052595,Sibling (兄弟节点)
GO:0005253,GO:0008509,Uncle/Nephew：1 (叔侄节点)
GO:0052542,GO:0009743,No Specific Relationship
GO:0005952,GO:1902554,Uncle/Nephew：1 (叔侄节点)
GO:1990469,GO:1990923,Uncle/Nephew：1 (叔侄节点)
GO:0071285,GO:1901701,Uncle：1/Nephew (叔侄节点)
GO:1905032,GO:0048519,Uncle：1/Nephew (叔侄节点)
GO:0000098,GO:0046395,Sibling (兄弟节点)
GO:0051202,GO:0043648,No Specific Relationship
GO:0046155,GO:0030163,Uncle：1/Nephew (叔侄节点)
GO:0002050,GO:1901361,Uncle：1/Nephew (叔侄节点)
GO:0010599,GO:0030422,Sibling (兄弟节点)
GO:0044672,GO:1902494,Sibling (兄弟节点)
GO:1905626,GO:0034764,Uncle：1/Nephew (叔侄节点)
GO:0009815,GO:0016715,Uncle：1/Nephew (叔侄节点)
GO:1900319,GO:0033239,Sibling (兄弟节点)
GO:1900854,GO:0010566,Uncle/Nephew：1 (叔侄节点)
GO:1902323,GO:0045717,Sibling (兄弟节点)
GO:0042220,GO:1902074,Uncle/Nephew：1 (叔侄节点)
GO:1901568,GO:0006629,Sibling (兄弟节点)
GO:0031048,GO:0031047,Uncle：1/Nephew (叔侄节点)
GO:0009415,GO:0010033,Uncle/Nephew：1 (叔侄节点)
GO:0055064,GO:0055081,Uncle：1/Nephew (叔侄节点)
GO:0051380,GO:0043169,Uncle：1/Nephew (叔侄节点)
GO:0015747,GO:0071705,Uncle：1/Nephew (叔侄节点)
GO:0007059,GO:0022402,Sibling (兄弟节点)
GO:0006882,GO:0098771,Uncle：1/Nephew (叔侄节点)
GO:0015115,GO:1901702,Uncle：1/Nephew (叔侄节点)
GO:0015746,GO:0071705,Uncle：1/Nephew (叔侄节点)
GO:0015106,GO:0015318,Uncle：1/Nephew (叔侄节点)
GO:0015796,GO:0034219,Sibling (兄弟节点)
GO:0035601,GO:0036211,Uncle/Nephew：1 (叔侄节点)
GO:0034133,GO:0062208,Uncle：1/Nephew (叔侄节点)
GO:0015706,GO:1902025,Uncle/Nephew：1 (叔侄节点)
GO:0005835,GO:1902494,Sibling (兄弟节点)
GO:1900320,GO:0033240,Sibling (兄弟节点)
GO:0008047,GO:0140677,Uncle/Nephew：1 (叔侄节点)
GO:0010041,GO:1902074,Uncle：1/Nephew (叔侄节点)
GO:0036272,GO:1902074,Uncle/Nephew：1 (叔侄节点)
GO:1902272,GO:0034762,Uncle：1/Nephew (叔侄节点)
GO:1904360,GO:0051093,Uncle：1/Nephew (叔侄节点)
GO:0015694,GO:0098655,Uncle：1/Nephew (叔侄节点)
GO:0000159,GO:0008287,Uncle：1/Nephew (叔侄节点)
GO:0015689,GO:0071705,Uncle：1/Nephew (叔侄节点)
GO:0031061,GO:0031324,Uncle：1/Nephew (叔侄节点)
GO:0034744,GO:0140535,Sibling (兄弟节点)
GO:0005839,GO:0140535,Sibling (兄弟节点)
GO:0070078,GO:0016577,Uncle：1/Nephew (叔侄节点)
GO:0061058,GO:0062207,Sibling (兄弟节点)
GO:0000758,GO:0051703,Grandparent-Grandchild (爷孙节点)
GO:0097251,GO:0042759,Uncle/Nephew：1 (叔侄节点)
GO:1901606,GO:0046395,Sibling (兄弟节点)
GO:0015124,GO:0046943,Uncle/Nephew：1 (叔侄节点)
GO:0046584,GO:0072338,Uncle/Nephew：1 (叔侄节点)
GO:0034176,GO:0039532,Uncle/Nephew：1 (叔侄节点)
GO:0071078,GO:1902494,Uncle：1/Nephew (叔侄节点)
GO:0045869,GO:1902679,No Specific Relationship
GO:0034131,GO:0062207,Uncle：1/Nephew (叔侄节点)
GO:0099585,GO:0051649,Uncle：1/Nephew (叔侄节点)
GO:0060238,GO:2000241,Uncle：1/Nephew (叔侄节点)
GO:0015730,GO:0071705,Uncle：1/Nephew (叔侄节点)
GO:0036409,GO:0140513,Uncle：1/Nephew (叔侄节点)
GO:0099118,GO:0007017,Uncle：1/Nephew (叔侄节点)
GO:0008519,GO:0015267,Uncle：1/Nephew (叔侄节点)
GO:0015550,GO:0046943,Uncle：1/Nephew (叔侄节点)
GO:1905830,GO:0050996,Sibling (兄弟节点)
GO:1902555,GO:1905348,Sibling (兄弟节点)
GO:0046415,GO:0072521,Uncle/Nephew：1 (叔侄节点)
GO:0015496,GO:0015297,Uncle：1/Nephew (叔侄节点)
GO:1903579,GO:1900543,Uncle/Nephew：1 (叔侄节点)
GO:0044675,GO:1902494,Sibling (兄弟节点)
GO:1900578,GO:0046394,Sibling (兄弟节点)
GO:0036051,GO:0008104,Uncle：1/Nephew (叔侄节点)
GO:0010486,GO:0051139,Sibling (兄弟节点)
GO:0016255,GO:0036211,Uncle：1/Nephew (叔侄节点)
GO:0045119,GO:0015297,Uncle/Nephew：1 (叔侄节点)
GO:0035158,GO:0035151,Uncle/Nephew：1 (叔侄节点)
GO:0017101,GO:1902494,Sibling (兄弟节点)
GO:2000058,GO:0031329,Uncle：1/Nephew (叔侄节点)
GO:0030015,GO:0140535,Sibling (兄弟节点)
GO:1990539,GO:0015755,Uncle/Nephew：1 (叔侄节点)
GO:1902341,GO:0034219,Sibling (兄弟节点)
GO:0035751,GO:0065008,Uncle：1/Nephew (叔侄节点)
GO:0035432,GO:0034764,Uncle：1/Nephew (叔侄节点)
GO:0006735,GO:0008152,Grandparent-Grandchild (爷孙节点)
GO:0048520,GO:0051240,Sibling (兄弟节点)
GO:0061057,GO:0002221,Sibling (兄弟节点)
GO:0015813,GO:0051938,Sibling (兄弟节点)
GO:0030642,GO:0055082,Uncle：1/Nephew (叔侄节点)
GO:1901683,GO:0022857,Uncle：1/Nephew (叔侄节点)
GO:1900178,GO:0051172,Uncle/Nephew：1 (叔侄节点)
GO:0052929,GO:0070566,Uncle：1/Nephew (叔侄节点)
GO:0015607,GO:0034040,Uncle/Nephew：1 (叔侄节点)
GO:2001306,GO:0042759,Uncle/Nephew：1 (叔侄节点)
GO:1904350,GO:0042176,Uncle：1/Nephew (叔侄节点)
GO:1904359,GO:0050794,Uncle：1/Nephew (叔侄节点)
GO:0033242,GO:0009895,Uncle：1/Nephew (叔侄节点)
GO:0030394,GO:0019752,Uncle/Nephew：1 (叔侄节点)
GO:0015724,GO:0071705,Uncle：1/Nephew (叔侄节点)
GO:0042542,GO:0010033,Uncle/Nephew：1 (叔侄节点)
GO:0010961,GO:0030003,Uncle：1/Nephew (叔侄节点)
GO:0032364,GO:0055082,Uncle/Nephew：1 (叔侄节点)
GO:0010524,GO:1904427,Sibling (兄弟节点)
GO:0002951,GO:0008242,Uncle/Nephew：1 (叔侄节点)
GO:0030007,GO:0030003,Uncle：1/Nephew (叔侄节点)
GO:0006777,GO:0032324,Sibling (兄弟节点)
GO:0009694,GO:0001676,Uncle/Nephew：1 (叔侄节点)
GO:0018214,GO:0036211,Uncle：1/Nephew (叔侄节点)
GO:0033054,GO:0043170,Uncle：1/Nephew (叔侄节点)
GO:0060525,GO:0003006,Uncle：1/Nephew (叔侄节点)
GO:0043858,GO:0015297,Uncle：1/Nephew (叔侄节点)
GO:0061907,GO:0032413,Uncle/Nephew：1 (叔侄节点)
GO:2001247,GO:0031328,Uncle：1/Nephew (叔侄节点)
GO:0034148,GO:0002683,Uncle：1/Nephew (叔侄节点)
GO:2000259,GO:1903319,Sibling (兄弟节点)
GO:0106150,GO:0046189,Uncle：1/Nephew (叔侄节点)
GO:1904314,GO:0071418,Uncle/Nephew：1 (叔侄节点)
GO:1901030,GO:0035794,Uncle/Nephew：1 (叔侄节点)
GO:0090675,GO:0034109,Uncle/Nephew：1 (叔侄节点)
GO:0042864,GO:0046394,Sibling (兄弟节点)
GO:0031990,GO:1901698,Uncle：1/Nephew (叔侄节点)
GO:0019783,GO:0008233,Uncle：1/Nephew (叔侄节点)
GO:0016595,GO:0033218,Uncle：1/Nephew (叔侄节点)
GO:0033591,GO:1902074,Uncle：1/Nephew (叔侄节点)
GO:0060965,GO:1900369,Sibling (兄弟节点)
GO:2000867,GO:2000831,Sibling (兄弟节点)
GO:0033588,GO:1902494,Uncle/Nephew：1 (叔侄节点)
GO:0030208,GO:0046364,Uncle：1/Nephew (叔侄节点)
GO:0060410,GO:0031324,Uncle：1/Nephew (叔侄节点)
GO:0050568,GO:0140096,Uncle：1/Nephew (叔侄节点)
GO:0034018,GO:0016862,Uncle/Nephew：1 (叔侄节点)
GO:1903830,GO:0098655,Uncle：1/Nephew (叔侄节点)
GO:0033365,GO:0008104,Uncle：1/Nephew (叔侄节点)
GO:1901029,GO:0035795,Uncle/Nephew：1 (叔侄节点)
GO:0042720,GO:1902494,Uncle：1/Nephew (叔侄节点)
GO:0051592,GO:0010033,Uncle：1/Nephew (叔侄节点)
GO:1900788,GO:0072338,Sibling (兄弟节点)
GO:0045727,GO:0051247,Uncle/Nephew：1 (叔侄节点)
GO:0075004,GO:0044650,Sibling (兄弟节点)
GO:1900646,GO:0031326,Uncle：1/Nephew (叔侄节点)
GO:0106378,GO:0047429,Uncle/Nephew：1 (叔侄节点)
GO:0033502,GO:0033500,Uncle/Nephew：1 (叔侄节点)
GO:0020035,GO:0044650,Sibling (兄弟节点)
GO:0004971,GO:0022890,Uncle：1/Nephew (叔侄节点)
GO:0005278,GO:0015078,Uncle：1/Nephew (叔侄节点)
GO:0018901,GO:1901564,Uncle/Nephew：1 (叔侄节点)
GO:0046034,GO:0009205,Uncle/Nephew：1 (叔侄节点)
GO:0045740,GO:0051054,Uncle/Nephew：1 (叔侄节点)
GO:0071247,GO:1902075,Uncle/Nephew：1 (叔侄节点)
GO:0034139,GO:0039531,Uncle/Nephew：1 (叔侄节点)
GO:0001626,GO:0008528,Uncle：1/Nephew (叔侄节点)
GO:0045493,GO:2000895,Sibling (兄弟节点)
GO:0080021,GO:1902074,Uncle/Nephew：1 (叔侄节点)
GO:0035434,GO:0098655,Uncle：1/Nephew (叔侄节点)
GO:0004152,GO:0016627,Uncle：1/Nephew (叔侄节点)
GO:0140674,GO:0140096,Uncle：1/Nephew (叔侄节点)
GO:0034180,GO:0039532,Uncle/Nephew：1 (叔侄节点)
GO:0090624,GO:0045182,No Specific Relationship
GO:0019472,GO:1901362,Uncle：1/Nephew (叔侄节点)
GO:0006882,GO:0030003,Uncle：1/Nephew (叔侄节点)
GO:0018193,GO:0036211,Uncle：1/Nephew (叔侄节点)
GO:1900800,GO:0019752,Uncle/Nephew：1 (叔侄节点)
GO:0090235,GO:0032879,Uncle：1/Nephew (叔侄节点)
GO:0006833,GO:0071702,Uncle/Nephew：1 (叔侄节点)
GO:0043541,GO:1902494,Uncle/Nephew：1 (叔侄节点)
