name1,name2,name1_word_count,name2_word_count
intracellular auxin transport,auxin transport,3,2
silicate transmembrane transporter activity,salt transmembrane transporter activity,4,4
bicarbonate transmembrane transporter activity,inorganic molecular entity transmembrane transporter activity,4,6
nitrate transport,nitrate import,2,2
manganese:proton antiporter activity,metal ion:proton antiporter activity,3,4
"regulation of tube diameter, open tracheal system","regulation of tube size, open tracheal system",7,7
L-glutamate transmembrane transport,L-glutamate import,3,2
ubiquitin-like protein-specific protease activity,peptidase activity,4,2
"cytoadherence to microvasculature, mediated by symbiont protein",adhesion of symbiont to host cell,7,6
regulation of PSII associated light-harvesting complex II catabolic process,regulation of protein catabolic process,9,5
neuron projection guidance,neuron projection development,3,3
Dbf4-dependent protein kinase complex,serine/threonine protein kinase complex,4,4
alkanesulfonate metabolic process,organic acid metabolic process,3,4
NADH metabolic process,NAD metabolic process,3,3
basic amino acid transmembrane export from vacuole,amino acid transmembrane export from vacuole,7,6
carboxylic acid binding,organic acid binding,3,3
formate transmembrane transporter activity,salt transmembrane transporter activity,4,4
chloride channel inhibitor activity,ion channel inhibitor activity,4,4
lipoyl(octanoyl) transferase activity,octanoyltransferase activity,3,2
short-chain fatty acid import,short-chain fatty acid transport,4,4
oligopeptidase activity,endopeptidase activity,2,2
induction by virus of host apoptotic process,modulation by virus of host apoptotic process,7,7
silicic acid import across plasma membrane,inorganic anion import across plasma membrane,6,6
L-histidine transport,L-amino acid transport,2,3
endocytic heme import into cell,endocytic iron import into cell,5,5
cyclic purine nucleotide metabolic process,cyclic nucleotide metabolic process,5,4
L-alpha-amino acid transmembrane transport,L-amino acid transport,4,3
methyl-branched fatty acid biosynthetic process,fatty acid biosynthetic process,5,4
sodium:sulfate symporter activity,solute:sodium symporter activity,3,3
GTP:GDP antiporter activity,antiporter activity,3,2
disruption by symbiont of host cytoskeleton,disruption by symbiont of host cellular component,6,7
protein localization to membrane,protein localization,4,2
calcium ion transport into cytosol,calcium ion transmembrane import into cytosol,5,6
ATPase activator activity,ATPase regulator activity,3,3
forebrain-midbrain boundary formation,formation of anatomical boundary,3,4
butyryl-CoA dehydrogenase activity,acyl-CoA dehydrogenase activity,3,3
modulation by virus of host gene expression,modulation by virus of host cellular process,7,7
dendritic cell proliferation,mononuclear cell proliferation,3,3
carboxylic acid transport,organic acid transport,3,3
positive regulation of mitotic recombination-dependent replication fork processing,regulation of mitotic recombination involved in replication fork processing,8,9
galactose import across plasma membrane,hexose import across plasma membrane,5,5
tRNA 5'-end processing,RNA 5'-end processing,3,3
cellular abscisic acid homeostasis,cellular chemical homeostasis,4,3
adenylate cyclase activator activity,adenylate cyclase regulator activity,4,4
ferric-enterobactin import into cell,siderophore-dependent iron import into cell,4,5
peroxiredoxin activity,peroxidase activity,2,2
L-cysteine desulfurase complex,catalytic complex,3,2
glutamine family amino acid catabolic process,cellular amino acid catabolic process,6,5
estrogen metabolic process,hormone metabolic process,3,3
bicarbonate transport,one-carbon compound transport,2,3
modulation by virus of host molecular function,modulation by virus of host cellular process,7,7
tellurite transmembrane transporter activity,salt transmembrane transporter activity,4,4
lithium:proton antiporter activity,metal ion:proton antiporter activity,3,4
cellular response to oxidised low-density lipoprotein particle stimulus,cellular response to low-density lipoprotein particle stimulus,8,7
negative regulation of monocyte activation,negative regulation of leukocyte activation,5,5
